Bill Of Materials (Listed per component)

Design C:\pcb_elegance\PcMotherBoard

April 18, 2012 19:32:11

+---+---------+-------------+-----------------+-------+
|pos|Reference|Value        |Geometry         |Part nr|
|551|U400     |DIMM         |DIMM168          |       |
|552|U401     |DIMM         |DIMM168          |       |
|553|U402     |34090        |BGA_324          |       |
|554|U600     |PROM128KX8   |plcc32_socket_smd|       |
|555|U601     |W83977F      |qfp128_m50       |       |
|556|U602     |75188        |so20             |       |
|557|U603     |75188        |so20             |       |
|558|U900     |EL7556C      |so28             |       |
|559|U901     |EL7556C      |so28             |       |
|560|Y100     |32.768kHz    |xtal_smd49       |       |
|561|Y200     |14.318MHz    |xtal_smd49       |       |
+---+---------+-------------+-----------------+-------+
