;
;
;
;
;
;
;
;Symbolname     Code1  Code2 PartNr        Value             Geometry             Description
R                   1  130   ""            "1R8"             K1206                "RESISTOR 1.8 OHM"
R                   1  130   ""            "2R2"             K1206                "RESISTOR 2.2 OHM"
R                   1  130   ""            "2R7"             K1206                "RESISTOR 2.7 OHM"
R                   1  130   ""            "3R3"             K1206                "RESISTOR 3.3 OHM"
R                   1  130   ""            "3R9"             K1206                "RESISTOR 3.9 OHM"
R                   1  130   ""            "4R7"             K1206                "RESISTOR 4.7 OHM"
R                   1  130   ""            "5R6"             K1206                "RESISTOR 5.6 OHM"
R                   1  130   ""            "6R8"             K1206                "RESISTOR 6.8 OHM"
R                   1  130   ""            "8R2"             K1206                "RESISTOR 8.2 OHM"
R                   1  130   ""            "10R"             K1206                "RESISTOR 10 OHM"
R                   1  130   ""            "12R"             K1206                "RESISTOR 12 OHM"
R                   1  130   ""            "15R"             K1206                "RESISTOR 15 OHM"
R                   1  130   ""            "18R"             K1206                "RESISTOR 18 OHM"
R                   1  130   ""            "22R"             K1206                "RESISTOR 22 OHM"
R                   1  130   ""            "27R"             K1206                "RESISTOR 27 OHM"
R                   1  130   ""            "33R"             K1206                "RESISTOR 33 OHM"
R                   1  130   ""            "39R"             K1206                "RESISTOR 39 OHM"
R                   1  130   ""            "47R"             K1206                "RESISTOR 47 OHM"
R                   1  130   ""            "56R"             K1206                "RESISTOR 56 OHM"
R                   1  130   ""            "68R"             K1206                "RESISTOR 68 OHM"
R                   1  130   ""            "82R"             K1206                "RESISTOR 82 OHM"
R                   1  130   ""            "100R"            K1206                "RESISTOR 100 OHM"
R                   1  130   ""            "120R"            K1206                "RESISTOR 120 OHM"
R                   1  130   ""            "150R"            K1206                "RESISTOR 150 OHM"
R                   1  130   ""            "180R"            K1206                "RESISTOR 180 OHM"
R                   1  130   ""            "220R"            K1206                "RESISTOR 220 OHM"
R                   1  130   ""            "270R"            K1206                "RESISTOR 270 OHM"
R                   1  130   ""            "330R"            K1206                "RESISTOR 330 OHM"
R                   1  130   ""            "390R"            K1206                "RESISTOR 390 OHM"
R                   1  130   ""            "470R"            K1206                "RESISTOR 470 OHM"
R                   1  130   ""            "560R"            K1206                "RESISTOR 560 OHM"
R                   1  130   ""            "680R"            K1206                "RESISTOR 680 OHM"
R                   1  130   ""            "820R"            K1206                "RESISTOR 820 OHM"
R                   1  130   ""            "1K0"             K1206                "RESISTOR 1.0K OHM"
R                   1  130   ""            "1K2"             K1206                "RESISTOR 1.2K OHM"
R                   1  130   ""            "1K5"             K1206                "RESISTOR 1.5K OHM"
R                   1  130   ""            "1K8"             K1206                "RESISTOR 1.8K OHM"
R                   1  130   ""            "2K2"             K1206                "RESISTOR 2.2K OHM"
R                   1  130   ""            "2K7"             K1206                "RESISTOR 2.7K OHM"
R                   1  130   ""            "3K3"             K1206                "RESISTOR 3.3K OHM"
R                   1  130   ""            "3K9"             K1206                "RESISTOR 3.9K OHM"
R                   1  130   ""            "4K7"             K1206                "RESISTOR 4.7K OHM"
R                   1  130   ""            "5K6"             K1206                "RESISTOR 5.6K OHM"
R                   1  130   ""            "6K8"             K1206                "RESISTOR 6.8K OHM"
R                   1  130   ""            "8K2"             K1206                "RESISTOR 8.2K OHM"
R                   1  130   ""            "10K"             K1206                "RESISTOR 10K OHM"
R                   1  130   ""            "12K"             K1206                "RESISTOR 12K OHM"
R                   1  130   ""            "15K"             K1206                "RESISTOR 15K OHM"
R                   1  130   ""            "18K"             K1206                "RESISTOR 18K OHM"
R                   1  130   ""            "22K"             K1206                "RESISTOR 22K OHM"
R                   1  130   ""            "27K"             K1206                "RESISTOR 27K OHM"
R                   1  130   ""            "33K"             K1206                "RESISTOR 33K OHM"
R                   1  130   ""            "39K"             K1206                "RESISTOR 39K OHM"
R                   1  130   ""            "47K"             K1206                "RESISTOR 47K OHM"
R                   1  130   ""            "56K"             K1206                "RESISTOR 56K OHM"
R                   1  130   ""            "68K"             K1206                "RESISTOR 68K OHM"
R                   1  130   ""            "82K"             K1206                "RESISTOR 82K OHM"
R                   1  130   ""            "100K"            K1206                "RESISTOR 100K OHM"
R                   1  130   ""            "120K"            K1206                "RESISTOR 120K OHM"
R                   1  130   ""            "150K"            K1206                "RESISTOR 150K OHM"
R                   1  130   ""            "180K"            K1206                "RESISTOR 180K OHM"
R                   1  130   ""            "220K"            K1206                "RESISTOR 220K OHM"
R                   1  130   ""            "270K"            K1206                "RESISTOR 270K OHM"
R                   1  130   ""            "330K"            K1206                "RESISTOR 330K OHM"
R                   1  130   ""            "390K"            K1206                "RESISTOR 390K OHM"
R                   1  130   ""            "470K"            K1206                "RESISTOR 470K OHM"
R                   1  130   ""            "560K"            K1206                "RESISTOR 560K OHM"
R                   1  130   ""            "680K"            K1206                "RESISTOR 680K OHM"
R                   1  130   ""            "820K"            K1206                "RESISTOR 820K OHM"
R                   1  130   ""            "10M"             K1206                "RESISTOR 10M OHM"
R                   1  150   ""            "0R"              K1812                "RESISTOR 0 OHM"
R                   1  150   ""            "0R10"            K1812                "RESISTOR 0.1 OHM"
R                   1  150   ""            "0R12"            K1812                "RESISTOR 0.12 OHM"
R                   1  150   ""            "0R15"            K1812                "RESISTOR 0.15 OHM"
R                   1  150   ""            "0R18"            K1812                "RESISTOR 0.18 OHM"
R                   1  150   ""            "0R22"            K1812                "RESISTOR 0.22 OHM"
R                   1  150   ""            "0R27"            K1812                "RESISTOR 0.27 OHM"
R                   1  150   ""            "0R33"            K1812                "RESISTOR 0.33 OHM"
R                   1  150   ""            "0R39"            K1812                "RESISTOR 0.39 OHM"
R                   1  150   ""            "0R47"            K1812                "RESISTOR 0.47 OHM"
R                   1  150   ""            "0R56"            K1812                "RESISTOR 0.56 OHM"
R                   1  150   ""            "0R68"            K1812                "RESISTOR 0.68 OHM"
R                   1  150   ""            "0R82"            K1812                "RESISTOR 0.82 OHM"
R                   1  150   ""            "1R0"             K1812                "RESISTOR 1.0 OHM"
R                   1  150   ""            "1R2"             K1812                "RESISTOR 1.2 OHM"
R                   1  150   ""            "1R5"             K1812                "RESISTOR 1.5 OHM"
R                   1  150   ""            "1R8"             K1812                "RESISTOR 1.8 OHM"
R                   1  150   ""            "2R2"             K1812                "RESISTOR 2.2 OHM"
R                   1  150   ""            "2R7"             K1812                "RESISTOR 2.7 OHM"
R                   1  150   ""            "3R3"             K1812                "RESISTOR 3.3 OHM"
R                   1  150   ""            "3R9"             K1812                "RESISTOR 3.9 OHM"
R                   1  150   ""            "4R7"             K1812                "RESISTOR 4.7 OHM"
R                   1  150   ""            "5R6"             K1812                "RESISTOR 5.6 OHM"
R                   1  150   ""            "6R8"             K1812                "RESISTOR 6.8 OHM"
R                   1  150   ""            "8R2"             K1812                "RESISTOR 8.2 OHM"
R                   1  150   ""            "10R"             K1812                "RESISTOR 10 OHM"
R                   1  150   ""            "12R"             K1812                "RESISTOR 12 OHM"
R                   1  150   ""            "15R"             K1812                "RESISTOR 15 OHM"
R                   1  150   ""            "18R"             K1812                "RESISTOR 18 OHM"
R                   1  150   ""            "22R"             K1812                "RESISTOR 22 OHM"
R                   1  150   ""            "27R"             K1812                "RESISTOR 27 OHM"
R                   1  150   ""            "33R"             K1812                "RESISTOR 33 OHM"
R                   1  150   ""            "39R"             K1812                "RESISTOR 39 OHM"
R                   1  150   ""            "47R"             K1812                "RESISTOR 47 OHM"
R                   1  150   ""            "56R"             K1812                "RESISTOR 56 OHM"
R                   1  150   ""            "68R"             K1812                "RESISTOR 68 OHM"
R                   1  150   ""            "82R"             K1812                "RESISTOR 82 OHM"
R                   1  150   ""            "100R"            K1812                "RESISTOR 100 OHM"
R                   1  150   ""            "120R"            K1812                "RESISTOR 120 OHM"
R                   1  150   ""            "150R"            K1812                "RESISTOR 150 OHM"
R                   1  150   ""            "180R"            K1812                "RESISTOR 180 OHM"
R                   1  150   ""            "220R"            K1812                "RESISTOR 220 OHM"
R                   1  150   ""            "270R"            K1812                "RESISTOR 270 OHM"
R                   1  150   ""            "330R"            K1812                "RESISTOR 330 OHM"
R                   1  150   ""            "390R"            K1812                "RESISTOR 390 OHM"
R                   1  150   ""            "470R"            K1812                "RESISTOR 470 OHM"
R                   1  150   ""            "560R"            K1812                "RESISTOR 560 OHM"
R                   1  150   ""            "680R"            K1812                "RESISTOR 680 OHM"
R                   1  150   ""            "820R"            K1812                "RESISTOR 820 OHM"
R                   1  150   ""            "1K0"             K1812                "RESISTOR 1.0K OHM"
R                   1  150   ""            "1K2"             K1812                "RESISTOR 1.2K OHM"
R                   1  150   ""            "1K5"             K1812                "RESISTOR 1.5K OHM"
R                   1  150   ""            "1K8"             K1812                "RESISTOR 1.8K OHM"
R                   1  150   ""            "2K2"             K1812                "RESISTOR 2.2K OHM"
R                   1  150   ""            "2K7"             K1812                "RESISTOR 2.7K OHM"
R                   1  150   ""            "3K3"             K1812                "RESISTOR 3.3K OHM"
R                   1  150   ""            "3K9"             K1812                "RESISTOR 3.9K OHM"
R                   1  150   ""            "4K7"             K1812                "RESISTOR 4.7K OHM"
